Group,Dana,Mineral,Mineral_Lowercase,Mineral_CJML
Sulphides,03.05.10.01,Owyheeite,owyheeite,"""owyheeite"","
Sulphides,03.05.11.01,Imhofite,imhofite,"""imhofite"","
Sulphides,03.05.11.02,Gabrielite,gabrielite,"""gabrielite"","
Sulphides,03.05.12.01,Izoklakeite,izoklakeite,"""izoklakeite"","
Sulphides,03.05.12.02,Giessenite,giessenite,"""giessenite"","
Sulphides,03.05.13.01,Jaskolskiite,jaskolskiite,"""jaskolskiite"","
Sulphides,03.05.14.01,Zoubekite,zoubekite,"""zoubekite"","
Sulphides,03.05.15.01,Watanabeite,watanabeite,"""watanabeite"","
Sulphides,03.06.01.01,Proudite,proudite,"""proudite"","
Sulphides,03.06.02.01,Eskimoite,eskimoite,"""eskimoite"","
Sulphides,03.06.03.01,Treasurite,treasurite,"""treasurite"","
Sulphides,03.06.04.01,Playfairite,playfairite,"""playfairite"","
Sulphides,03.06.05.01,Cannizzarite,cannizzarite,"""cannizzarite"","
Sulphides,03.06.05.02,Wittite,wittite,"""wittite"","
Sulphides,03.06.06.01,Launayite,launayite,"""launayite"","
Sulphides,03.06.07.01,Jamesonite,jamesonite,"""jamesonite"","
Sulphides,03.06.07.02,Benavidesite,benavidesite,"""benavidesite"","
Sulphides,03.06.08.01,Dadsonite,dadsonite,"""dadsonite"","
Sulphides,03.06.09.01,Parajamesonite,parajamesonite,"""parajamesonite"","
Sulphides,03.06.10.01,Eclarite,eclarite,"""eclarite"","
Sulphides,03.06.11.01,Vikingite,vikingite,"""vikingite"","
Sulphides,03.06.12.01,Sorbyite,sorbyite,"""sorbyite"","
Sulphides,03.06.13.01,Baumhauerite,baumhauerite,"""baumhauerite"","
Sulphides,03.06.13.02,Baumhauerite,baumhauerite,"""baumhauerite"","
Sulphides,03.06.14.01,Sinnerite,sinnerite,"""sinnerite"","
Sulphides,03.06.15.01,Berryite,berryite,"""berryite"","
Sulphides,03.06.16.01,Robinsonite,robinsonite,"""robinsonite"","
Sulphides,03.06.17.01,Liveingite,liveingite,"""liveingite"","
Sulphides,03.06.18.01,Weibullite,weibullite,"""weibullite"","
Sulphides,03.06.19.01,Kobellite,kobellite,"""kobellite"","
Sulphides,03.06.19.02,Tintinaite,tintinaite,"""tintinaite"","
Sulphides,03.06.20,Fuloppite,fuloppite,"""fuloppite"","
Sulphides,03.06.20.01,Fuloppite,fuloppite,"""fuloppite"","
Sulphides,03.06.20.02,Plagionite,plagionite,"""plagionite"","
Sulphides,03.06.20.03,Heteromorphite,heteromorphite,"""heteromorphite"","
Sulphides,03.06.20.04,Semseyite,semseyite,"""semseyite"","
Sulphides,03.06.20.05,Rayite,rayite,"""rayite"","
Sulphides,03.06.21.01,Pizgrischite,pizgrischite,"""pizgrischite"","
Sulphides,03.06.21.02,Rouxelite,rouxelite,"""rouxelite"","
Sulphides,03.06.22.01,Emilite,emilite,"""emilite"","
Sulphides,03.06.23.01,Vurroite,vurroite,"""vurroite"","
Sulphides,03.07.01,Matildite,matildite,"""matildite"","
Sulphides,03.07.01.01,Matildite,matildite,"""matildite"","
Sulphides,03.07.01.02,Bohdanowiczite,bohdanowiczite,"""bohdanowiczite"","
Sulphides,03.07.01.03,Volynskite,volynskite,"""volynskite"","
Sulphides,03.07.01.04,Zlatogorite,zlatogorite,"""zlatogorite"","
Sulphides,03.07.02.01,Trechmannite,trechmannite,"""trechmannite"","
Sulphides,03.07.03.01,Smithite,smithite,"""smithite"","
Sulphides,03.07.03.02,Miargyrite,miargyrite,"""miargyrite"","
Sulphides,03.07.04.01,Aramayoite,aramayoite,"""aramayoite"","
Sulphides,03.07.04.02,Baumstarkite,baumstarkite,"""baumstarkite"","
Sulphides,03.07.05.01,Chalcostibite,chalcostibite,"""chalcostibite"","
Sulphides,03.07.05.02,Emplectite,emplectite,"""emplectite"","
Sulphides,03.07.06.01,Lorandite,lorandite,"""lorandite"","
Sulphides,03.07.07.01,Weissbergite,weissbergite,"""weissbergite"","
Sulphides,03.07.08,Sartorite,sartorite,"""sartorite"","
Sulphides,03.07.08.01,Sartorite,sartorite,"""sartorite"","
Sulphides,03.07.08.02,Guettardite,guettardite,"""guettardite"","
Sulphides,03.07.08.03,Twinnite,twinnite,"""twinnite"","
Sulphides,03.07.08.04,Marumoite,marumoite,"""marumoite"","
Sulphides,03.07.09,Galenobismutite,galenobismutite,"""galenobismutite"","
Sulphides,03.07.09.01,Galenobismutite,galenobismutite,"""galenobismutite"","
Sulphides,03.07.09.02,Sakharovaite,sakharovaite,"""sakharovaite"","
Sulphides,03.07.09.03,Berthierite,berthierite,"""berthierite"","
Sulphides,03.07.09.04,Garavellite,garavellite,"""garavellite"","
Sulphides,03.07.09.05,Clerite,clerite,"""clerite"","
Sulphides,03.07.10,Simonite,simonite,"""simonite"","
Sulphides,03.07.10.01,Simonite,simonite,"""simonite"","
Sulphides,03.07.10.02,Edenharterite,edenharterite,"""edenharterite"","
Sulphides,03.07.10.03,Jentschite,jentschite,"""jentschite"","
Sulphides,03.07.10.04,Sicherite,sicherite,"""sicherite"","
Sulphides,03.07.11.01,Livingstonite,livingstonite,"""livingstonite"","
Sulphides,03.07.11.02,Grumiplucite,grumiplucite,"""grumiplucite"","
Sulphides,03.07.12.01,Rathite,rathite,"""rathite"","
Sulphides,03.07.13.01,Nordstromite,nordstromite,"""nordstromite"","
Sulphides,03.07.14.01,Junoite,junoite,"""junoite"","
Sulphides,03.07.14.02,Felbertalite,felbertalite,"""felbertalite"","
Sulphides,03.07.15.01,Vrbaite,vrbaite,"""vrbaite"","
Sulphides,03.07.16.01,Rohaite,rohaite,"""rohaite"","
Sulphides,03.07.17.01,Dervillite,dervillite,"""dervillite"","
Sulphides,03.07.18.01,Watkinsonite,watkinsonite,"""watkinsonite"","
Sulphides,03.07.19.01,Schapbachite,schapbachite,"""schapbachite"","
Sulphides,03.07.20.01,Chenguodaite,chenguodaite,"""chenguodaite"","
Sulphides,03.08.01,Zinkenite,zinkenite,"""zinkenite"","
Sulphides,03.08.01.01,Zinkenite,zinkenite,"""zinkenite"","
Sulphides,03.08.01.02,Pillaite,pillaite,"""pillaite"","
Sulphides,03.08.01.03,Pellouxite,pellouxite,"""pellouxite"","
Sulphides,03.08.01.04,Tazieffite,tazieffite,"""tazieffite"","
Sulphides,03.08.02,Cuprobismutite,cuprobismutite,"""cuprobismutite"","
Sulphides,03.08.02.01,Cuprobismutite,cuprobismutite,"""cuprobismutite"","
Sulphides,03.08.02.02,Kupcikite,kupcikite,"""kupcikite"","
Sulphides,03.08.03.01,Tvalchrelidzeite,tvalchrelidzeite,"""tvalchrelidzeite"","
Sulphides,03.08.04.01,Hodrushite,hodrushite,"""hodrushite"","
Sulphides,03.08.04.02,Paderaite,paderaite,"""paderaite"","
Sulphides,03.08.06.01,Hutchinsonite,hutchinsonite,"""hutchinsonite"","
Sulphides,03.08.07.01,Pierrotite,pierrotite,"""pierrotite"","
Sulphides,03.08.08.01,Gerstleyite,gerstleyite,"""gerstleyite"","
Sulphides,03.08.09.01,Gillulyite,gillulyite,"""gillulyite"","
Sulphides,03.08.10,Pavonite,pavonite,"""pavonite"","
Sulphides,03.08.10.01,Pavonite,pavonite,"""pavonite"","
Sulphides,03.08.10.02,Makovickyite,makovickyite,"""makovickyite"","
Sulphides,03.08.10.03,Benjaminite,benjaminite,"""benjaminite"","
Sulphides,03.08.10.04,Mummeite,mummeite,"""mummeite"","
Sulphides,03.08.10.05,Borodaevite,borodaevite,"""borodaevite"","
Sulphides,03.08.10.06,Cupropavonite,cupropavonite,"""cupropavonite"","
Sulphides,03.08.10.07,Cupromakovickyite,cupromakovickyite,"""cupromakovickyite"","
Sulphides,03.08.10.08,Kudriavite,kudriavite,"""kudriavite"","
Sulphides,03.08.11.01,Ustarasite,ustarasite,"""ustarasite"","
Sulphides,03.08.12.01,Chabourneite,chabourneite,"""chabourneite"","
Sulphides,03.08.13.01,Rebulite,rebulite,"""rebulite"","
Sulphides,03.08.13.02,Jankovicite,jankovicite,"""jankovicite"","
Sulphides,03.08.14.01,Parapierrotite,parapierrotite,"""parapierrotite"","
Sulphides,03.08.14.02,Bernardite,bernardite,"""bernardite"","
Sulphides,03.08.15.01,Vaughanite,vaughanite,"""vaughanite"","
Sulphides,03.08.16.01,Scainiite,scainiite,"""scainiite"","
Sulphides,03.08.16.02,Marrucciite,marrucciite,"""marrucciite"","
Sulphides,03.08.17.01,Paarite,paarite,"""paarite"","
Sulphides,03.09.01.01,Criddleite,criddleite,"""criddleite"","
Sulphides,03.09.02.01,Cuboargyrite,cuboargyrite,"""cuboargyrite"","
Oxides and hydroxides,04.00.00,Hydroxide,hydroxide,"""hydroxide"","
Oxides and hydroxides,04.00.00.00,Ashanite,ashanite,"""ashanite"","
Oxides and hydroxides,04.00.00.00,Chubutite,chubutite,"""chubutite"","
Oxides and hydroxides,04.00.00.00,Clinobirnessite,clinobirnessite,"""clinobirnessite"","
Oxides and hydroxides,04.00.00.00,Donathite,donathite,"""donathite"","
Oxides and hydroxides,04.00.00.00,Krasnogorite,krasnogorite,"""krasnogorite"","
Oxides and hydroxides,04.00.00.00,Mengxianminite,mengxianminite,"""mengxianminite"","
Oxides and hydroxides,04.00.00.00,Romanite,romanite,"""romanite"","
Oxides and hydroxides,04.00.00.00,Tantalowodginite,tantalowodginite,"""tantalowodginite"","
Oxides and hydroxides,04.00.00.00,Ungursaite,ungursaite,"""ungursaite"","
Oxides and hydroxides,04.00.00.00,Wolframoixiolite,wolframoixiolite,"""wolframoixiolite"","
Oxides and hydroxides,04.01.01.01,Cuprite,cuprite,"""cuprite"","
Oxides and hydroxides,04.01.03.01,Methane,methane,"""methane"","
Oxides and hydroxides,04.01.03.02,Methane,methane,"""methane"","
Oxides and hydroxides,04.01.03.03,Methane,methane,"""methane"","
Oxides and hydroxides,04.02.01,Periclase,periclase,"""periclase"","
Oxides and hydroxides,04.02.01.01,Periclase,periclase,"""periclase"","
Oxides and hydroxides,04.02.01.02,Bunsenite,bunsenite,"""bunsenite"","
Oxides and hydroxides,04.02.01.03,Manganosite,manganosite,"""manganosite"","
Oxides and hydroxides,04.02.01.04,Monteponite,monteponite,"""monteponite"","
Oxides and hydroxides,04.02.01.06,Wustite,wustite,"""wustite"","
Oxides and hydroxides,04.02.01.07,Hongquiite,hongquiite,"""hongquiite"","
Oxides and hydroxides,04.02.02.01,Zincite,zincite,"""zincite"","
Oxides and hydroxides,04.02.02.02,Bromellite,bromellite,"""bromellite"","
Oxides and hydroxides,04.02.03.01,Tenorite,tenorite,"""tenorite"","
Oxides and hydroxides,04.02.04.01,Litharge,litharge,"""litharge"","
Oxides and hydroxides,04.02.05.01,Romarchite,romarchite,"""romarchite"","
Oxides and hydroxides,04.02.06.01,Montroydite,montroydite,"""montroydite"","
Oxides and hydroxides,04.02.07.01,Massicot,massicot,"""massicot"","
Oxides and hydroxides,04.03.01,Corundum-Hematite,corundum-hematite,"""corundum-hematite"","
Oxides and hydroxides,04.03.01.01,Corundum,corundum,"""corundum"","
Oxides and hydroxides,04.03.01.02,Hematite,hematite,"""hematite"","
Oxides and hydroxides,04.03.01.03,Eskolaite,eskolaite,"""eskolaite"","
Oxides and hydroxides,04.03.01.04,Karelianite,karelianite,"""karelianite"","
Oxides and hydroxides,04.03.01.05,Tistarite,tistarite,"""tistarite"","
Oxides and hydroxides,04.03.02.01,Akdalaite,akdalaite,"""akdalaite"","
Oxides and hydroxides,04.03.02.02,Ferrihydrite,ferrihydrite,"""ferrihydrite"","
Oxides and hydroxides,04.03.03,Perovskite,perovskite,"""perovskite"","
Oxides and hydroxides,04.03.03.01,Perovskite,perovskite,"""perovskite"","
Oxides and hydroxides,04.03.03.02,Latrappite,latrappite,"""latrappite"","
Oxides and hydroxides,04.03.03.03,Loparite,loparite,"""loparite"","
Oxides and hydroxides,04.03.03.04,Lueshite,lueshite,"""lueshite"","
Oxides and hydroxides,04.03.03.05,Tausonite,tausonite,"""tausonite"","
Oxides and hydroxides,04.03.03.06,Isolueshite,isolueshite,"""isolueshite"","
Oxides and hydroxides,04.03.03.07,Barioperovskite,barioperovskite,"""barioperovskite"","
Oxides and hydroxides,04.03.03.08,Lakargiite,lakargiite,"""lakargiite"","
Oxides and hydroxides,04.03.04.01,Natroniobite,natroniobite,"""natroniobite"","
Oxides and hydroxides,04.03.05,Ilmenite,ilmenite,"""ilmenite"","
Oxides and hydroxides,04.03.05.01,Ilmenite,ilmenite,"""ilmenite"","
Oxides and hydroxides,04.03.05.02,Geikielite,geikielite,"""geikielite"","
Oxides and hydroxides,04.03.05.03,Pyrophanite,pyrophanite,"""pyrophanite"","
Oxides and hydroxides,04.03.05.04,Ecandrewsite,ecandrewsite,"""ecandrewsite"","
Oxides and hydroxides,04.03.05.05,Melanostibite,melanostibite,"""melanostibite"","
Oxides and hydroxides,04.03.05.06,Brizziite,brizziite,"""brizziite"","
Oxides and hydroxides,04.03.05.07,Akimotoite,akimotoite,"""akimotoite"","
Oxides and hydroxides,04.03.06.01,Macedonite,macedonite,"""macedonite"","
Oxides and hydroxides,04.03.07.01,Maghemite,maghemite,"""maghemite"","
Oxides and hydroxides,04.03.07.02,Bixbyite,bixbyite,"""bixbyite"","
Oxides and hydroxides,04.03.08.01,Avicennite,avicennite,"""avicennite"","
Oxides and hydroxides,04.03.09.01,Arsenolite,arsenolite,"""arsenolite"","
Oxides and hydroxides,04.03.09.02,Senarmontite,senarmontite,"""senarmontite"","
Oxides and hydroxides,04.03.10,Claudetite,claudetite,"""claudetite"","
Oxides and hydroxides,04.03.10.01,Claudetite,claudetite,"""claudetite"","
Oxides and hydroxides,04.03.10.02,Bismite,bismite,"""bismite"","
Oxides and hydroxides,04.03.10.03,Stibioclaudetite,stibioclaudetite,"""stibioclaudetite"","
Oxides and hydroxides,04.03.11.01,Valentinite,valentinite,"""valentinite"","
Oxides and hydroxides,04.03.12.01,Sillenite,sillenite,"""sillenite"","
Oxides and hydroxides,04.03.13.01,Sphaerobismoite,sphaerobismoite,"""sphaerobismoite"","
Oxides and hydroxides,04.03.13.02,Chrombismite,chrombismite,"""chrombismite"","
Oxides and hydroxides,04.04.01,Rutile,rutile,"""rutile"","
Oxides and hydroxides,04.04.01.01,Rutile,rutile,"""rutile"","
Oxides and hydroxides,04.04.01.02,Ilmenorutile,ilmenorutile,"""ilmenorutile"","
Oxides and hydroxides,04.04.01.03,Struverite,struverite,"""struverite"","
Oxides and hydroxides,04.04.01.04,Pyrolusite,pyrolusite,"""pyrolusite"","
Oxides and hydroxides,04.04.01.05,Cassiterite,cassiterite,"""cassiterite"","
Oxides and hydroxides,04.04.01.06,Plattnerite,plattnerite,"""plattnerite"","
Oxides and hydroxides,04.04.01.07,Argutite,argutite,"""argutite"","
Oxides and hydroxides,04.04.01.08,Squawcreekite,squawcreekite,"""squawcreekite"","
Oxides and hydroxides,04.04.01.09,Stishovite,stishovite,"""stishovite"","
Oxides and hydroxides,04.04.02.01,Varlamoffite,varlamoffite,"""varlamoffite"","
Oxides and hydroxides,04.04.03.01,Downeyite,downeyite,"""downeyite"","
Oxides and hydroxides,04.04.03.02,Paratellurite,paratellurite,"""paratellurite"","
Oxides and hydroxides,04.04.04.01,Anatase,anatase,"""anatase"","
Oxides and hydroxides,04.04.05.01,Brookite,brookite,"""brookite"","
Oxides and hydroxides,04.04.06.01,Tellurite,tellurite,"""tellurite"","
Oxides and hydroxides,04.04.06.02,Scrutinyite,scrutinyite,"""scrutinyite"","
Oxides and hydroxides,04.04.07.01,Ramsdellite,ramsdellite,"""ramsdellite"","
Oxides and hydroxides,04.04.08.01,Nsutite,nsutite,"""nsutite"","
Oxides and hydroxides,04.04.09.01,Vernadite,vernadite,"""vernadite"","
Oxides and hydroxides,04.04.10.01,Akhtenskite,akhtenskite,"""akhtenskite"","
Oxides and hydroxides,04.04.11.01,Paramontroseite,paramontroseite,"""paramontroseite"","
Oxides and hydroxides,04.04.12.01,Cerianite,cerianite,"""cerianite"","
Oxides and hydroxides,04.04.13.01,Tazheranite,tazheranite,"""tazheranite"","
Oxides and hydroxides,04.04.13.02,Srilankite,srilankite,"""srilankite"","
Oxides and hydroxides,04.04.14.01,Baddeleyite,baddeleyite,"""baddeleyite"","
Oxides and hydroxides,04.04.15.01,Tugarinovite,tugarinovite,"""tugarinovite"","
Oxides and hydroxides,04.04.16.01,Cervantite,cervantite,"""cervantite"","
Oxides and hydroxides,04.04.16.02,Clinocervantite,clinocervantite,"""clinocervantite"","
Oxides and hydroxides,04.04.17.01,Lenoblite,lenoblite,"""lenoblite"","
Oxides and hydroxides,04.05.01.01,Molybdite,molybdite,"""molybdite"","
Oxides and hydroxides,04.05.02.01,Tungstite,tungstite,"""tungstite"","
Oxides and hydroxides,04.05.03.01,Meymacite,meymacite,"""meymacite"","
Oxides and hydroxides,04.05.04.01,Alumotungstite,alumotungstite,"""alumotungstite"","
Oxides and hydroxides,04.05.05.01,Ferritungstite,ferritungstite,"""ferritungstite"","
Oxides and hydroxides,04.05.05.02,Elsmoreite,elsmoreite,"""elsmoreite"","
Oxides and hydroxides,04.05.06.01,Sidwillite,sidwillite,"""sidwillite"","
Oxides and hydroxides,04.06.01.01,Shcherbinaite,shcherbinaite,"""shcherbinaite"","
Oxides and hydroxides,04.06.02.01,Navajoite,navajoite,"""navajoite"","
Oxides and hydroxides,04.06.03.01,Ilsemannite,ilsemannite,"""ilsemannite"","
Oxides and hydroxides,04.06.04.01,Paramelaconite,paramelaconite,"""paramelaconite"","
Oxides and hydroxides,04.06.05.01,Murdochite,murdochite,"""murdochite"","
Oxides and hydroxides,04.06.06.01,Tantite,tantite,"""tantite"","
Oxides and hydroxides,04.06.07.01,Nolanite,nolanite,"""nolanite"","
Oxides and hydroxides,04.06.07.02,Rinmanite,rinmanite,"""rinmanite"","
Oxides and hydroxides,05.01.01.01,Uraninite,uraninite,"""uraninite"","
Oxides and hydroxides,05.01.01.02,Thorianite,thorianite,"""thorianite"","
Oxides and hydroxides,05.02.01,Schoepite,schoepite,"""schoepite"","
Oxides and hydroxides,05.02.01.01,Metaschoepite,metaschoepite,"""metaschoepite"","
Oxides and hydroxides,05.02.01.02,Paraschoepite,paraschoepite,"""paraschoepite"","
Oxides and hydroxides,05.02.01.03,Schoepite,schoepite,"""schoepite"","
Oxides and hydroxides,05.02.02.01,Masuyite,masuyite,"""masuyite"","
Oxides and hydroxides,05.02.03.01,Spriggite,spriggite,"""spriggite"","
Oxides and hydroxides,05.02.04.01,Holfertite,holfertite,"""holfertite"","
Oxides and hydroxides,05.03.01,Studtite,studtite,"""studtite"","
Oxides and hydroxides,05.03.01.01,Studtite,studtite,"""studtite"","
Oxides and hydroxides,05.03.01.02,Metastudtite,metastudtite,"""metastudtite"","
Oxides and hydroxides,05.03.02.01,Vandenbrandeite,vandenbrandeite,"""vandenbrandeite"","
Oxides and hydroxides,05.04.01.01,Clarkeite,clarkeite,"""clarkeite"","
Oxides and hydroxides,05.04.02,Uranoite,uranoite,"""uranoite"","
Oxides and hydroxides,05.04.02.01,Calciouranoite,calciouranoite,"""calciouranoite"","
Oxides and hydroxides,05.04.02.02,Bauranoite,bauranoite,"""bauranoite"","
Oxides and hydroxides,05.04.03.01,Metacalciouranoite,metacalciouranoite,"""metacalciouranoite"","
Oxides and hydroxides,05.04.03.02,Wolsendorfite,wolsendorfite,"""wolsendorfite"","
Oxides and hydroxides,05.05.01.01,Agrinierite,agrinierite,"""agrinierite"","
Oxides and hydroxides,05.05.02.01,Rameauite,rameauite,"""rameauite"","
Oxides and hydroxides,05.05.03.01,Protasite,protasite,"""protasite"","
Oxides and hydroxides,05.06.01.01,Ianthinite,ianthinite,"""ianthinite"","
Oxides and hydroxides,05.07.01,Becquerelite,becquerelite,"""becquerelite"","
Oxides and hydroxides,05.07.01.01,Compreignacite,compreignacite,"""compreignacite"","
Oxides and hydroxides,05.07.01.02,Becquerelite,becquerelite,"""becquerelite"","
Oxides and hydroxides,05.07.01.03,Billietite,billietite,"""billietite"","
Oxides and hydroxides,05.08.01.01,Vandendriesscheite,vandendriesscheite,"""vandendriesscheite"","
Oxides and hydroxides,05.08.01.02,Metavandendriesscheite,metavandendriesscheite,"""metavandendriesscheite"","
Oxides and hydroxides,05.09.01.01,Uranosphaerite,uranosphaerite,"""uranosphaerite"","
Oxides and hydroxides,05.09.02.01,Fourmarierite,fourmarierite,"""fourmarierite"","
Oxides and hydroxides,05.09.03.01,Curite,curite,"""curite"","
Oxides and hydroxides,05.09.04.01,Mourite,mourite,"""mourite"","
Oxides and hydroxides,05.09.05.01,Richetite,richetite,"""richetite"","
Oxides and hydroxides,05.09.06.01,Sayrite,sayrite,"""sayrite"","
Oxides and hydroxides,06.01.01,Diaspore,diaspore,"""diaspore"","
Oxides and hydroxides,06.01.01.01,Diaspore,diaspore,"""diaspore"","
Oxides and hydroxides,06.01.01.02,Goethite,goethite,"""goethite"","
Oxides and hydroxides,06.01.01.03,Groutite,groutite,"""groutite"","
Oxides and hydroxides,06.01.01.04,Montroseite,montroseite,"""montroseite"","
Oxides and hydroxides,06.01.01.05,Bracewellite,bracewellite,"""bracewellite"","
Oxides and hydroxides,06.01.01.06,Tsumgallite,tsumgallite,"""tsumgallite"","
Oxides and hydroxides,06.01.02,Boehmite,boehmite,"""boehmite"","
Oxides and hydroxides,06.01.02.01,Boehmite,boehmite,"""boehmite"","
Oxides and hydroxides,06.01.02.02,Lepidocrocite,lepidocrocite,"""lepidocrocite"","
Oxides and hydroxides,06.01.02.03,Guyanaite,guyanaite,"""guyanaite"","
Oxides and hydroxides,06.01.03.01,Manganite,manganite,"""manganite"","
Oxides and hydroxides,06.01.04,Heterogenite,heterogenite,"""heterogenite"","
Oxides and hydroxides,06.01.04.01,Heterogenite,heterogenite,"""heterogenite"","
Oxides and hydroxides,06.01.04.02,Heterogenite,heterogenite,"""heterogenite"","
Oxides and hydroxides,06.01.04.03,Feitknechtite,feitknechtite,"""feitknechtite"","
Oxides and hydroxides,06.01.04.04,Feroxyhyte,feroxyhyte,"""feroxyhyte"","
Oxides and hydroxides,06.01.05.01,Grimaldiite,grimaldiite,"""grimaldiite"","
Oxides and hydroxides,06.01.06.01,Akaganeite,akaganeite,"""akaganeite"","
Oxides and hydroxides,06.02.01,Brucite,brucite,"""brucite"","
Oxides and hydroxides,06.02.01.01,Brucite,brucite,"""brucite"","
Oxides and hydroxides,06.02.01.02,Amakinite,amakinite,"""amakinite"","
Oxides and hydroxides,06.02.01.03,Pyrochroite,pyrochroite,"""pyrochroite"","
Oxides and hydroxides,06.02.01.04,Portlandite,portlandite,"""portlandite"","
Oxides and hydroxides,06.02.01.05,Theophrastite,theophrastite,"""theophrastite"","
Oxides and hydroxides,06.02.02.01,Behoite,behoite,"""behoite"","
Oxides and hydroxides,06.02.03.01,Clinobehoite,clinobehoite,"""clinobehoite"","
Oxides and hydroxides,06.02.04.01,Spertiniite,spertiniite,"""spertiniite"","
Oxides and hydroxides,06.02.05.01,Calumetite,calumetite,"""calumetite"","
Oxides and hydroxides,06.02.06.01,Anthonyite,anthonyite,"""anthonyite"","
Oxides and hydroxides,06.02.07.01,Duttonite,duttonite,"""duttonite"","
Oxides and hydroxides,06.02.08.01,Tivanite,tivanite,"""tivanite"","
Oxides and hydroxides,06.02.09.01,Sweetite,sweetite,"""sweetite"","
Oxides and hydroxides,06.02.10.01,Wulfingite,wulfingite,"""wulfingite"","
Oxides and hydroxides,06.02.11.01,Ashoverite,ashoverite,"""ashoverite"","
Oxides and hydroxides,06.02.12.01,Paraotwayite,paraotwayite,"""paraotwayite"","
Oxides and hydroxides,06.02.13.01,Cianciulliite,cianciulliite,"""cianciulliite"","
Oxides and hydroxides,06.03.01.01,Gibbsite,gibbsite,"""gibbsite"","
Oxides and hydroxides,06.03.02.01,Bayerite,bayerite,"""bayerite"","
Oxides and hydroxides,06.03.03.01,Nordstrandite,nordstrandite,"""nordstrandite"","
Oxides and hydroxides,06.03.04.01,Doyleite,doyleite,"""doyleite"","
Oxides and hydroxides,06.03.05,Dzhalindite,dzhalindite,"""dzhalindite"","
Oxides and hydroxides,06.03.05.01,Dzhalindite,dzhalindite,"""dzhalindite"","
Oxides and hydroxides,06.03.05.02,Sohngeite,sohngeite,"""sohngeite"","
Oxides and hydroxides,06.03.05.03,Bernalite,bernalite,"""bernalite"","
Oxides and hydroxides,06.03.06,Wickmanite,wickmanite,"""wickmanite"","
Oxides and hydroxides,06.03.06.01,Wickmanite,wickmanite,"""wickmanite"","
Oxides and hydroxides,06.03.06.02,Schoenfliesite,schoenfliesite,"""schoenfliesite"","
Oxides and hydroxides,06.03.06.03,Natanite,natanite,"""natanite"","
Oxides and hydroxides,06.03.06.04,Vismirnovite,vismirnovite,"""vismirnovite"","
Oxides and hydroxides,06.03.06.05,Burtite,burtite,"""burtite"","
Oxides and hydroxides,06.03.06.06,Mushistonite,mushistonite,"""mushistonite"","
Oxides and hydroxides,06.03.07,Wickmanite,wickmanite,"""wickmanite"","
Oxides and hydroxides,06.03.07.01,Stottite,stottite,"""stottite"","
Oxides and hydroxides,06.03.07.02,Tetrawickmanite,tetrawickmanite,"""tetrawickmanite"","
Oxides and hydroxides,06.03.07.03,Jeanbandyite,jeanbandyite,"""jeanbandyite"","
Oxides and hydroxides,06.03.07.04,Mopungite,mopungite,"""mopungite"","
Oxides and hydroxides,06.03.08.01,Jamborite,jamborite,"""jamborite"","
Oxides and hydroxides,06.03.09.01,Bottinoite,bottinoite,"""bottinoite"","
Oxides and hydroxides,06.03.09.02,Brandholzite,brandholzite,"""brandholzite"","
Oxides and hydroxides,06.04.01.01,Lithiophorite,lithiophorite,"""lithiophorite"","
Oxides and hydroxides,06.04.01.02,Quenselite,quenselite,"""quenselite"","
Oxides and hydroxides,06.04.02.01,Hydroromarchite,hydroromarchite,"""hydroromarchite"","
Oxides and hydroxides,06.04.03.01,Haggite,haggite,"""haggite"","
Oxides and hydroxides,06.04.04.01,Hydrocalumite,hydrocalumite,"""hydrocalumite"","
Oxides and hydroxides,06.04.05.01,Iowaite,iowaite,"""iowaite"","
Oxides and hydroxides,06.04.05.02,Woodallite,woodallite,"""woodallite"","
Oxides and hydroxides,06.04.06.01,Meixnerite,meixnerite,"""meixnerite"","
Oxides and hydroxides,06.04.06.02,Fougerite,fougerite,"""fougerite"","
Oxides and hydroxides,06.04.07.01,Janggunite,janggunite,"""janggunite"","
Oxides and hydroxides,06.04.08.01,Kimrobinsonite,kimrobinsonite,"""kimrobinsonite"","
Oxides and hydroxides,06.04.09.01,Asbolane,asbolane,"""asbolane"","
Oxides and hydroxides,06.04.10.01,Schwertmannite,schwertmannite,"""schwertmannite"","
Oxides and hydroxides,06.04.11.01,Nepskoeite,nepskoeite,"""nepskoeite"","
Oxides and hydroxides,06.04.12.01,Kuzelite,kuzelite,"""kuzelite"","
Oxides and hydroxides,06.04.13.01,Jacquesdietrichite,jacquesdietrichite,"""jacquesdietrichite"","
Oxides and hydroxides,06.04.14.01,Krivovichevite,krivovichevite,"""krivovichevite"","
Oxides and hydroxides,06.04.14.02,Grandviewite,grandviewite,"""grandviewite"","
Oxides and hydroxides,06.04.15.01,Karchevskyite,karchevskyite,"""karchevskyite"","
Oxides and hydroxides,07.01.01.01,Delafossite,delafossite,"""delafossite"","
Oxides and hydroxides,07.01.01.02,Mcconnellite,mcconnellite,"""mcconnellite"","
Oxides and hydroxides,07.01.02.01,Crednerite,crednerite,"""crednerite"","
Oxides and hydroxides,07.02.01.01,Spinel,spinel,"""spinel"","
Oxides and hydroxides,07.02.01.02,Galaxite,galaxite,"""galaxite"","
Oxides and hydroxides,07.02.01.03,Hercynite,hercynite,"""hercynite"","
